,id,name,type,variable,year,PopDensity,Area_1,Area_2
860328,0500000US30061,"Mineral County, Montana",county,density,2018,3.4530000000000003,Mineral County,Montana
860331,0500000US30069,"Petroleum County, Montana",county,density,2018,0.261,Petroleum County,Montana
860334,0500000US30089,"Sanders County, Montana",county,density,2018,4.173,Sanders County,Montana
860337,0500000US30029,"Flathead County, Montana",county,density,2018,19.278,Flathead County,Montana
860340,0500000US30109,"Wibaux County, Montana",county,density,2018,1.321,Wibaux County,Montana
860343,0500000US30059,"Meagher County, Montana",county,density,2018,0.823,Meagher County,Montana
860346,0500000US30009,"Carbon County, Montana",county,density,2018,5.147,Carbon County,Montana
860349,0500000US30071,"Phillips County, Montana",county,density,2018,0.802,Phillips County,Montana
860352,0500000US31001,"Adams County, Nebraska",county,density,2018,56.071000000000005,Adams County,Nebraska
860355,0500000US31109,"Lancaster County, Nebraska",county,density,2018,370.24,Lancaster County,Nebraska
860358,0500000US31011,"Boone County, Nebraska",county,density,2018,7.739,Boone County,Nebraska
860361,0500000US31149,"Rock County, Nebraska",county,density,2018,1.339,Rock County,Nebraska
860364,0500000US31007,"Banner County, Nebraska",county,density,2018,0.9329999999999999,Banner County,Nebraska
860367,0500000US31163,"Sherman County, Nebraska",county,density,2018,5.376,Sherman County,Nebraska
860370,0500000US31147,"Richardson County, Nebraska",county,density,2018,14.513,Richardson County,Nebraska
860373,0500000US31093,"Howard County, Nebraska",county,density,2018,11.25,Howard County,Nebraska
860376,0500000US31089,"Holt County, Nebraska",county,density,2018,4.247,Holt County,Nebraska
860379,0500000US31065,"Furnas County, Nebraska",county,density,2018,6.655,Furnas County,Nebraska
860382,0500000US31073,"Gosper County, Nebraska",county,density,2018,4.398,Gosper County,Nebraska
860385,0500000US31151,"Saline County, Nebraska",county,density,2018,24.891,Saline County,Nebraska
860388,0500000US31153,"Sarpy County, Nebraska",county,density,2018,746.2689999999999,Sarpy County,Nebraska
860391,0500000US31173,"Thurston County, Nebraska",county,density,2018,18.141,Thurston County,Nebraska
860394,0500000US31177,"Washington County, Nebraska",county,density,2018,51.849,Washington County,Nebraska
860397,0500000US31015,"Boyd County, Nebraska",county,density,2018,3.782,Boyd County,Nebraska
860400,0500000US31031,"Cherry County, Nebraska",county,density,2018,0.971,Cherry County,Nebraska
860403,0500000US31053,"Dodge County, Nebraska",county,density,2018,69.383,Dodge County,Nebraska
860406,0500000US31059,"Fillmore County, Nebraska",county,density,2018,9.687999999999999,Fillmore County,Nebraska
860409,0500000US31069,"Garden County, Nebraska",county,density,2018,1.091,Garden County,Nebraska
860412,0500000US31091,"Hooker County, Nebraska",county,density,2018,0.958,Hooker County,Nebraska
860415,0500000US31123,"Morrill County, Nebraska",county,density,2018,3.4,Morrill County,Nebraska
860418,0500000US31127,"Nemaha County, Nebraska",county,density,2018,17.192999999999998,Nemaha County,Nebraska
860421,0500000US31159,"Seward County, Nebraska",county,density,2018,29.971999999999998,Seward County,Nebraska
860424,0500000US31171,"Thomas County, Nebraska",county,density,2018,0.904,Thomas County,Nebraska
860427,0500000US31043,"Dakota County, Nebraska",county,density,2018,76.884,Dakota County,Nebraska
860430,0500000US31181,"Webster County, Nebraska",county,density,2018,6.211,Webster County,Nebraska
860433,0500000US31003,"Antelope County, Nebraska",county,density,2018,7.433,Antelope County,Nebraska
860436,0500000US31023,"Butler County, Nebraska",county,density,2018,13.792,Butler County,Nebraska
860439,0500000US31035,"Clay County, Nebraska",county,density,2018,10.89,Clay County,Nebraska
860442,0500000US31041,"Custer County, Nebraska",county,density,2018,4.205,Custer County,Nebraska
860445,0500000US31067,"Gage County, Nebraska",county,density,2018,25.361,Gage County,Nebraska
860448,0500000US31081,"Hamilton County, Nebraska",county,density,2018,16.906,Hamilton County,Nebraska
860451,0500000US31099,"Kearney County, Nebraska",county,density,2018,12.692,Kearney County,Nebraska
860454,0500000US31101,"Keith County, Nebraska",county,density,2018,7.629,Keith County,Nebraska
860457,0500000US31119,"Madison County, Nebraska",county,density,2018,61.396,Madison County,Nebraska
860460,0500000US31135,"Perkins County, Nebraska",county,density,2018,3.2910000000000004,Perkins County,Nebraska
860463,0500000US31155,"Saunders County, Nebraska",county,density,2018,28.023000000000003,Saunders County,Nebraska
860466,0500000US31179,"Wayne County, Nebraska",county,density,2018,21.149,Wayne County,Nebraska
860469,0500000US31103,"Keya Paha County, Nebraska",county,density,2018,1.024,Keya Paha County,Nebraska
860472,0500000US31107,"Knox County, Nebraska",county,density,2018,7.632999999999999,Knox County,Nebraska
860475,0500000US31111,"Lincoln County, Nebraska",county,density,2018,13.819,Lincoln County,Nebraska
860478,0500000US31139,"Pierce County, Nebraska",county,density,2018,12.485,Pierce County,Nebraska
860481,0500000US31165,"Sioux County, Nebraska",county,density,2018,0.613,Sioux County,Nebraska
860484,0500000US31025,"Cass County, Nebraska",county,density,2018,46.107,Cass County,Nebraska
860487,0500000US31051,"Dixon County, Nebraska",county,density,2018,12.065999999999999,Dixon County,Nebraska
860490,0500000US31057,"Dundy County, Nebraska",county,density,2018,2.2,Dundy County,Nebraska
860493,0500000US31077,"Greeley County, Nebraska",county,density,2018,4.229,Greeley County,Nebraska
860496,0500000US31079,"Hall County, Nebraska",county,density,2018,112.29,Hall County,Nebraska
860499,0500000US31131,"Otoe County, Nebraska",county,density,2018,25.820999999999998,Otoe County,Nebraska
860502,0500000US31145,"Red Willow County, Nebraska",county,density,2018,15.071,Red Willow County,Nebraska
860505,0500000US31045,"Dawes County, Nebraska",county,density,2018,6.37,Dawes County,Nebraska
860508,0500000US31033,"Cheyenne County, Nebraska",county,density,2018,8.235,Cheyenne County,Nebraska
860511,0500000US31047,"Dawson County, Nebraska",county,density,2018,23.496,Dawson County,Nebraska
860514,0500000US31175,"Valley County, Nebraska",county,density,2018,7.436,Valley County,Nebraska
860517,0500000US31117,"McPherson County, Nebraska",county,density,2018,0.529,McPherson County,Nebraska
860520,0500000US31125,"Nance County, Nebraska",county,density,2018,8.047,Nance County,Nebraska
860523,0500000US31167,"Stanton County, Nebraska",county,density,2018,14.002,Stanton County,Nebraska
860526,0500000US31083,"Harlan County, Nebraska",county,density,2018,6.212000000000001,Harlan County,Nebraska
860529,0500000US31009,"Blaine County, Nebraska",county,density,2018,0.675,Blaine County,Nebraska
860532,0500000US31019,"Buffalo County, Nebraska",county,density,2018,50.645,Buffalo County,Nebraska
860535,0500000US31049,"Deuel County, Nebraska",county,density,2018,4.306,Deuel County,Nebraska
860538,0500000US31087,"Hitchcock County, Nebraska",county,density,2018,4.005,Hitchcock County,Nebraska
860541,0500000US31141,"Platte County, Nebraska",county,density,2018,49.051,Platte County,Nebraska
860544,0500000US31169,"Thayer County, Nebraska",county,density,2018,8.885,Thayer County,Nebraska
860547,0500000US31013,"Box Butte County, Nebraska",county,density,2018,10.312999999999999,Box Butte County,Nebraska
860550,0500000US32001,"Churchill County, Nevada",county,density,2018,4.87,Churchill County,Nevada
860553,0500000US32005,"Douglas County, Nevada",county,density,2018,67.39,Douglas County,Nevada
860556,0500000US32027,"Pershing County, Nevada",county,density,2018,1.095,Pershing County,Nevada
860559,0500000US32009,"Esmeralda County, Nevada",county,density,2018,0.27399999999999997,Esmeralda County,Nevada
860562,0500000US32013,"Humboldt County, Nevada",county,density,2018,1.7530000000000001,Humboldt County,Nevada
860565,0500000US32021,"Mineral County, Nevada",county,density,2018,1.185,Mineral County,Nevada
860568,0500000US32033,"White Pine County, Nevada",county,density,2018,1.097,White Pine County,Nevada
860571,0500000US32007,"Elko County, Nevada",county,density,2018,3.043,Elko County,Nevada
860574,0500000US32017,"Lincoln County, Nevada",county,density,2018,0.48700000000000004,Lincoln County,Nevada
860577,0500000US32023,"Nye County, Nevada",county,density,2018,2.404,Nye County,Nevada
860580,0500000US32029,"Storey County, Nevada",county,density,2018,14.989,Storey County,Nevada
860583,0500000US32031,"Washoe County, Nevada",county,density,2018,71.479,Washoe County,Nevada
860586,0500000US32003,"Clark County, Nevada",county,density,2018,271.38,Clark County,Nevada
860589,0500000US32510,"Carson City, Nevada",county,density,2018,376.51199999999994,Carson City,Nevada
860592,0500000US32019,"Lyon County, Nevada",county,density,2018,26.561999999999998,Lyon County,Nevada
860595,0500000US33005,"Cheshire County, New Hampshire",county,density,2018,107.92,Cheshire County,New Hampshire
860598,0500000US33013,"Merrimack County, New Hampshire",county,density,2018,159.993,Merrimack County,New Hampshire
860601,0500000US33009,"Grafton County, New Hampshire",county,density,2018,52.559,Grafton County,New Hampshire
860604,0500000US33015,"Rockingham County, New Hampshire",county,density,2018,439.211,Rockingham County,New Hampshire
860607,0500000US33001,"Belknap County, New Hampshire",county,density,2018,151.512,Belknap County,New Hampshire
860610,0500000US33019,"Sullivan County, New Hampshire",county,density,2018,80.26,Sullivan County,New Hampshire
860613,0500000US33011,"Hillsborough County, New Hampshire",county,density,2018,469.20300000000003,Hillsborough County,New Hampshire
860616,0500000US33017,"Strafford County, New Hampshire",county,density,2018,347.54900000000004,Strafford County,New Hampshire
860619,0500000US33007,"Coos County, New Hampshire",county,density,2018,17.852,Coos County,New Hampshire
860622,0500000US33003,"Carroll County, New Hampshire",county,density,2018,51.382,Carroll County,New Hampshire
860625,0500000US34025,"Monmouth County, New Jersey",county,density,2018,1329.771,Monmouth County,New Jersey
860628,0500000US34037,"Sussex County, New Jersey",county,density,2018,274.17,Sussex County,New Jersey
860631,0500000US34011,"Cumberland County, New Jersey",county,density,2018,317.137,Cumberland County,New Jersey
860634,0500000US34013,"Essex County, New Jersey",county,density,2018,6287.464,Essex County,New Jersey
860637,0500000US34029,"Ocean County, New Jersey",county,density,2018,941.4069999999999,Ocean County,New Jersey
860640,0500000US34015,"Gloucester County, New Jersey",county,density,2018,903.252,Gloucester County,New Jersey
860643,0500000US34033,"Salem County, New Jersey",county,density,2018,190.829,Salem County,New Jersey
860646,0500000US34031,"Passaic County, New Jersey",county,density,2018,2730.5559999999996,Passaic County,New Jersey
860649,0500000US34007,"Camden County, New Jersey",county,density,2018,2293.052,Camden County,New Jersey
860652,0500000US34003,"Bergen County, New Jersey",county,density,2018,3991.26,Bergen County,New Jersey
860655,0500000US34041,"Warren County, New Jersey",county,density,2018,297.808,Warren County,New Jersey
860658,0500000US34017,"Hudson County, New Jersey",county,density,2018,14475.35,Hudson County,New Jersey
860661,0500000US34005,"Burlington County, New Jersey",county,density,2018,558.953,Burlington County,New Jersey
860664,0500000US34027,"Morris County, New Jersey",county,density,2018,1074.333,Morris County,New Jersey
860667,0500000US35039,"Rio Arriba County, New Mexico",county,density,2018,6.707000000000001,Rio Arriba County,New Mexico
860670,0500000US35047,"San Miguel County, New Mexico",county,density,2018,5.945,San Miguel County,New Mexico
860673,0500000US35057,"Torrance County, New Mexico",county,density,2018,4.662,Torrance County,New Mexico
860676,0500000US35035,"Otero County, New Mexico",county,density,2018,9.941,Otero County,New Mexico
860679,0500000US35006,"Cibola County, New Mexico",county,density,2018,5.943,Cibola County,New Mexico
860682,0500000US35019,"Guadalupe County, New Mexico",county,density,2018,1.446,Guadalupe County,New Mexico
860685,0500000US35003,"Catron County, New Mexico",county,density,2018,0.511,Catron County,New Mexico
860688,0500000US35017,"Grant County, New Mexico",county,density,2018,7.082999999999999,Grant County,New Mexico
860691,0500000US35029,"Luna County, New Mexico",county,density,2018,8.183,Luna County,New Mexico
860694,0500000US35031,"McKinley County, New Mexico",county,density,2018,13.367,McKinley County,New Mexico
