id_x,name_x,city,county,Area_name,State,country,holeCount,rating,latitude,longitude,zipcode,PopDensity,total_pop,total_income,avg_income,MedianHHIncome,region,fips,County
milk-honey-cidery,Milk & Honey Cidery,St. Joseph,Stearns County,"Stearns County, MN",MN,USA,9,,45.5603828,-94.3518905,56374,116.756,4120,275979,66985.19417475727,66317.0,midwest,27145,Stearns County
millstream-park,Millstream Park,St. Joseph,Stearns County,"Stearns County, MN",MN,USA,18,,45.5702771,-94.3291772,56374,116.756,4120,275979,66985.19417475727,66317.0,midwest,27145,Stearns County
saint-johns-abbey-run-disc-golf-course,Saint John's Abbey Run Disc Golf Course,Collegeville Township,Stearns County,"Stearns County, MN",MN,USA,9,,45.579933200000006,-94.3922138,56374,116.756,4120,275979,66985.19417475727,66317.0,midwest,27145,Stearns County
mississippi-river-park,Mississippi River Park,St. Stephen,Stearns County,"Stearns County, MN",MN,USA,18,,45.7224271,-94.2296984,56367,116.756,3440,242351,70450.87209302325,66317.0,midwest,27145,Stearns County
north-park-0,North Park,Albany,Stearns County,"Stearns County, MN",MN,USA,18,,45.640401000000004,-94.5643223,56307,116.756,2420,161485,66729.33884297521,66317.0,midwest,27145,Stearns County
northside-park-1,Northside Park,Sartell,Stearns County,"Stearns County, MN",MN,USA,12,,45.6359711,-94.2170397,56377,116.756,9600,811873,84570.10416666666,66317.0,midwest,27145,Stearns County
rivers-edge-park,River's Edge Park,Waite Park,Stearns County,"Stearns County, MN",MN,USA,12,,45.5608929,-94.23227299999999,56387,116.756,4030,180770,44856.079404466494,66317.0,midwest,27145,Stearns County
sauk-river-park-disc-golf,Sauk River Park Disc Golf,Melrose,Stearns County,"Stearns County, MN",MN,USA,9,,45.6779342,-94.8049802,56352,116.756,2610,150985,57848.659003831424,66317.0,midwest,27145,Stearns County
aitkin-city-park,Aitkin City Park,Aitkin,Aitkin County,"Aitkin County, MN",MN,USA,9,,46.530300200000006,-93.7105563,56431,8.692,4110,236826,57621.89781021897,49822.0,midwest,27001,Aitkin County
nordland-tall-grass-disc-golf-course,Nordland Tall Grass Disc Golf Course,Aitkin,Aitkin County,"Aitkin County, MN",MN,USA,9,,46.533012899999996,-93.7102493,56431,8.692,4110,236826,57621.89781021897,49822.0,midwest,27001,Aitkin County
covenant-pines-disc-golf-course,Covenant Pines Disc Golf Course,McGregor,Aitkin County,"Aitkin County, MN",MN,USA,9,,46.6450386,-93.3717803,55760,8.692,1320,67473,51115.90909090909,49822.0,midwest,27001,Aitkin County
american-legion-park-0,American Legion Park,Brainerd,Crow Wing County,"Crow Wing County, MN",MN,USA,9,,46.3565911,-94.1985834,56401,63.913,14490,807686,55740.924775707375,58213.0,midwest,27035,Crow Wing County
central-lakes-college-disc-golf-course,Central Lakes College Disc Golf Course,Brainerd,Crow Wing County,"Crow Wing County, MN",MN,USA,9,5.0,46.3455802,-94.216162,56401,63.913,14490,807686,55740.924775707375,58213.0,midwest,27035,Crow Wing County
crow-wing-lake-camp,Crow Wing Lake Camp,Brainerd,Crow Wing County,"Crow Wing County, MN",MN,USA,9,1.0,46.2368217,-94.3468196,56401,63.913,14490,807686,55740.924775707375,58213.0,midwest,27035,Crow Wing County
lum-park,Lum Park,Brainerd,Crow Wing County,"Crow Wing County, MN",MN,USA,9,5.0,46.3684749,-94.1650628,56401,63.913,14490,807686,55740.924775707375,58213.0,midwest,27035,Crow Wing County
city-breezy-point-disc-golf-course-0,City of Breezy Point Disc Golf Course,Breezy Point,Crow Wing County,"Crow Wing County, MN",MN,USA,18,4.0,46.6084441,-94.2298205,56472,63.913,4060,247239,60896.30541871921,58213.0,midwest,27035,Crow Wing County
pequot-lakes-baptist-church,Pequot Lakes Baptist Church,Pequot Lakes,Crow Wing County,"Crow Wing County, MN",MN,USA,9,,46.588819,-94.307872,56472,63.913,4060,247239,60896.30541871921,58213.0,midwest,27035,Crow Wing County
crosslake-community-center,Crosslake Community Center,Crosslake,Crow Wing County,"Crow Wing County, MN",MN,USA,9,3.0,46.696888,-94.10486440000001,56442,63.913,1430,148652,103952.44755244756,58213.0,midwest,27035,Crow Wing County
lusk-park,Lusk Park,Ironton,Crow Wing County,"Crow Wing County, MN",MN,USA,9,4.0,46.4746506,-93.9770525,56455,63.913,760,41011,53961.84210526317,58213.0,midwest,27035,Crow Wing County
st-mathias-disc-golf,St. Mathias Disc Golf,Fort Ripley,Crow Wing County,"Crow Wing County, MN",MN,USA,9,5.0,46.2202024,-94.2492528,56449,63.913,780,49449,63396.15384615385,58213.0,midwest,27035,Crow Wing County
appleton-disc-golf-course,Appleton Disc Golf Course,Appleton,Swift County,"Swift County, MN",MN,USA,9,,45.2065668,-96.0118199,56208,12.682,890,48210,54168.539325842685,59165.0,midwest,27151,Swift County
armbruster-disc-golf-course,Armbruster Disc Golf Course,Rochester,Olmsted County,"Olmsted County, MN",MN,USA,9,,44.01090960000001,-92.448538,55906,234.278,9600,874082,91050.20833333331,82683.0,midwest,27109,Olmsted County
bear-cave-park,Bear Cave Park,Stewartville,Olmsted County,"Olmsted County, MN",MN,USA,18,5.0,43.860331,-92.5012291,55976,234.278,3970,248329,62551.3853904282,82683.0,midwest,27109,Olmsted County
ironwood-springs-christian-ranch,Ironwood Springs Christian Ranch,Stewartville,Olmsted County,"Olmsted County, MN",MN,USA,9,,43.845712,-92.581757,55976,234.278,3970,248329,62551.3853904282,82683.0,midwest,27109,Olmsted County
caryl-cowden-park,Caryl Cowden Park,Oronoco,Olmsted County,"Olmsted County, MN",MN,USA,7,,44.160478499999996,-92.5355968,55960,234.278,1610,163670,101658.3850931677,82683.0,midwest,27109,Olmsted County
east-park-0,East Park,Rochester,Olmsted County,"Olmsted County, MN",MN,USA,9,,44.0245124,-92.4414926,55904,234.278,14310,805492,56288.74912648498,82683.0,midwest,27109,Olmsted County
rochester-community-and-technical-college-disc-golf-course,Rochester Community and Technical College Disc Golf Course,Rochester,Olmsted County,"Olmsted County, MN",MN,USA,9,,44.0146222,-92.4233987,55904,234.278,14310,805492,56288.74912648498,82683.0,midwest,27109,Olmsted County
slatterly-park,Slatterly Park,Rochester,Olmsted County,"Olmsted County, MN",MN,USA,9,,44.0150871,-92.45299759999999,55904,234.278,14310,805492,56288.74912648498,82683.0,midwest,27109,Olmsted County
klingvall-park-dgc,Klingvall Park Disc Golf Course,Byron,Olmsted County,"Olmsted County, MN",MN,USA,7,,43.860331,-92.5012291,55920,234.278,4030,354007,87842.92803970222,82683.0,midwest,27109,Olmsted County
mill-creek-park,Mill Creek Park,Chatfield,Olmsted County,"Olmsted County, MN",MN,USA,9,,43.8457185,-92.1947743,55923,234.278,2230,154293,69189.68609865471,82683.0,midwest,27109,Olmsted County
west-side-park,West Side Park,Eyota,Olmsted County,"Olmsted County, MN",MN,USA,9,3.0,43.9855731,-92.2378123,55934,234.278,1670,116345,69667.66467065868,82683.0,midwest,27109,Olmsted County
arvig-park,Arvig Park,Perham,Otter Tail County,"Otter Tail County, MN",MN,USA,18,,46.6034638,-95.5692652,56573,29.407,3330,214228,64332.73273273272,67329.0,midwest,27111,Otter Tail County
battle-lake-park,Battle Lake Park,Battle Lake,Otter Tail County,"Otter Tail County, MN",MN,USA,6,,46.2886143,-95.7153158,56515,29.407,1540,101800,66103.8961038961,67329.0,midwest,27111,Otter Tail County
oasis-disc-golf-gods-acres,Oasis Disc Golf at God's Acres,Amor,Otter Tail County,"Otter Tail County, MN",MN,USA,9,,46.4132643,-95.7373405,56515,29.407,1540,101800,66103.8961038961,67329.0,midwest,27111,Otter Tail County
delagoon-disc-golf-course,Delagoon Disc Golf Course,Fergus Falls,Otter Tail County,"Otter Tail County, MN",MN,USA,27,4.0,46.2568926,-96.0417339,56537,29.407,9120,545735,59839.364035087725,67329.0,midwest,27111,Otter Tail County
fergus-falls-community-college,Fergus Falls Community College,Fergus Falls,Otter Tail County,"Otter Tail County, MN",MN,USA,12,,46.2907371,-96.096611,56537,29.407,9120,545735,59839.364035087725,67329.0,midwest,27111,Otter Tail County
henning-city-park-disc-golf-course,Henning City Park Disc Golf Course,Henning,Otter Tail County,"Otter Tail County, MN",MN,USA,9,,46.3216278,-95.4453161,56551,29.407,1030,50660,49184.46601941748,67329.0,midwest,27111,Otter Tail County
island-9,Island 9,Henning,Otter Tail County,"Otter Tail County, MN",MN,USA,9,,46.320910999999995,-95.4447788,56551,29.407,1030,50660,49184.46601941748,67329.0,midwest,27111,Otter Tail County
bagley-city-park,Bagley City Park,Bagley,Clearwater County,"Clearwater County, MN",MN,USA,9,,47.5284893,-95.39903129999999,56621,8.821,2030,101067,49786.69950738916,51147.0,midwest,27029,Clearwater County
baker-campground,Baker Campground,Maple Plain,Hennepin County,"Hennepin County, MN",MN,USA,2,,45.01647,-93.639586,55359,2231.753,3160,573044,181343.0379746836,81772.0,midwest,27053,Hennepin County
pioneer-creek-park,Pioneer Creek Park,Independence,Hennepin County,"Hennepin County, MN",MN,USA,9,,45.01590170000001,-93.691112,55359,2231.753,3160,573044,181343.0379746836,81772.0,midwest,27053,Hennepin County
bassett-creek-park,Bassett Creek Park,Crystal,Hennepin County,"Hennepin County, MN",MN,USA,15,3.0,45.0136149,-93.3525297,55422,2231.753,15370,1295556,84291.21665582302,81772.0,midwest,27053,Hennepin County
wirth-par-3,Wirth Par 3,Golden Valley,Hennepin County,"Hennepin County, MN",MN,USA,18,1.0,44.9909461,-93.3263546,55422,2231.753,15370,1295556,84291.21665582302,81772.0,midwest,27053,Hennepin County
blake-middle-school-disc-golf-course,Blake Middle School Disc Golf Course,Hopkins,Hennepin County,"Hennepin County, MN",MN,USA,9,1.0,44.92180820000001,-93.3899394,55343,2231.753,14650,1114054,76044.64163822525,81772.0,midwest,27053,Hennepin County
brookview-blue-course,Brookview - Blue Course,Golden Valley,Hennepin County,"Hennepin County, MN",MN,USA,18,,44.9755637,-93.3861433,55426,2231.753,14420,1097084,76080.72122052705,81772.0,midwest,27053,Hennepin County
brookview-winter-disc-golf-course,Brookview - Red Course,Golden Valley,Hennepin County,"Hennepin County, MN",MN,USA,18,,44.975906099999996,-93.3853744,55426,2231.753,14420,1097084,76080.72122052705,81772.0,midwest,27053,Hennepin County
bryant-lake-park,Bryant Lake Park,Eden Prairie,Hennepin County,"Hennepin County, MN",MN,USA,18,4.0,44.883633,-93.42546999999999,55344,2231.753,8150,711998,87361.71779141104,81772.0,midwest,27053,Hennepin County
ge-capital-fleet-disc-golf-course,GE Capital Fleet Disc Golf Course,Eden Prairie,Hennepin County,"Hennepin County, MN",MN,USA,3,,44.865243,-93.40946290000001,55344,2231.753,8150,711998,87361.71779141104,81772.0,midwest,27053,Hennepin County
staring-lake-park,Staring Lake Park,Eden Prairie,Hennepin County,"Hennepin County, MN",MN,USA,9,4.0,44.834828200000004,-93.463161,55344,2231.753,8150,711998,87361.71779141104,81772.0,midwest,27053,Hennepin County
central-park,Central Park,Brooklyn Park,Hennepin County,"Hennepin County, MN",MN,USA,9,3.0,45.1075222,-93.34413520000001,55443,2231.753,17970,1212740,67486.92264885921,81772.0,midwest,27053,Hennepin County
orchard-trail-park,Orchard Trail Park,Brooklyn Park,Hennepin County,"Hennepin County, MN",MN,USA,3,2.0,45.1475116,-93.3513662,55443,2231.753,17970,1212740,67486.92264885921,81772.0,midwest,27053,Hennepin County
eagles-edge,Eagle's Edge,Brooklyn Park,Hennepin County,"Hennepin County, MN",MN,USA,9,3.0,45.097620299999996,-93.3789054,55445,2231.753,6760,476238,70449.40828402367,81772.0,midwest,27053,Hennepin County
hennepin-tech-brooklyn-park,Hennepin Tech Brooklyn Park,Brooklyn Park,Hennepin County,"Hennepin County, MN",MN,USA,9,,45.0961983,-93.3981069,55445,2231.753,6760,476238,70449.40828402367,81772.0,midwest,27053,Hennepin County
elm-creek-park-reserve,Elm Creek Park Reserve,Maple Grove,Hennepin County,"Hennepin County, MN",MN,USA,18,4.0,45.13822879999999,-93.4379675,55369,2231.753,19930,1628656,81718.81585549423,81772.0,midwest,27053,Hennepin County
galloway-park,Galloway Park,Champlin,Hennepin County,"Hennepin County, MN",MN,USA,9,2.0,45.200640299999996,-93.4211196,55316,2231.753,12460,982774,78874.31781701444,81772.0,midwest,27053,Hennepin County
hassan-meadows-park,Hassan Meadows Park,Rogers,Hennepin County,"Hennepin County, MN",MN,USA,9,2.0,45.1901723,-93.5623829,55374,2231.753,7370,750591,101844.09769335145,81772.0,midwest,27053,Hennepin County
hennepin-tech-eden-prairie,Hennepin Tech Eden Prairie,Eden Prairie,Hennepin County,"Hennepin County, MN",MN,USA,9,2.0,44.835907,-93.4434859,55347,2231.753,15500,2607936,168253.93548387097,81772.0,midwest,27053,Hennepin County
riley-lake-disc-golf-practice-area,Riley Lake Disc Golf Practice Area,Eden Prairie,Hennepin County,"Hennepin County, MN",MN,USA,4,,44.8350751,-93.5120004,55347,2231.753,15500,2607936,168253.93548387097,81772.0,midwest,27053,Hennepin County
hopkins-west-junior-high-school,Hopkins West Junior High School,Minnetonka,Hennepin County,"Hennepin County, MN",MN,USA,9,,44.9329525,-93.4491051,55305,2231.753,11890,1528413,128546.08915054669,81772.0,midwest,27053,Hennepin County
