id_x,name_x,city,county,Area_name,State,country,holeCount,rating,latitude,longitude,zipcode,PopDensity,total_pop,total_income,avg_income,MedianHHIncome
tillman-park-disc-golf-course,Tillman Park Disc Golf Course,Fort Wayne,Allen County,"Allen County, IN",IN,USA,19,,41.0157126,-85.1322564,46816,562.9259999999999,8160,303412,37182.84314,61039.0
eckhart-park,Eckhart Park,Auburn,DeKalb County,"DeKalb County, IN",IN,USA,9,,41.3577352,-85.05307020000001,46706,117.699,9730,618124,63527.64645,62411.0
elwood-disc-golf-course,Elwood Disc Golf Course,Elwood,Madison County,"Madison County, IN",IN,USA,18,4.0,40.262738299999995,-85.8491255,46036,286.569,5140,231078,44956.80934,51718.0
falls-park,Falls Park,Pendelton,Madison County,"Madison County, IN",IN,USA,9,,40.00734,-85.740065,46064,286.569,6820,513521,75296.33431,51718.0
sanders-memorial-disc-golf-course,Sanders Memorial Disc Golf Course,Anderson,Madison County,"Madison County, IN",IN,USA,18,,40.10472120000001,-85.66850179999999,46012,286.569,8910,436997,49045.67901,51718.0
todd-c-woodward-memorial-park,Todd C. Woodward Memorial Park,Lapel,Madison County,"Madison County, IN",IN,USA,9,,40.0732868,-85.8442447,46051,286.569,1430,79241,55413.28671,51718.0
fly-faith,Fly By Faith,Lafayette,Tippecanoe County,"Tippecanoe County, IN",IN,USA,18,4.0,40.418746999999996,-86.798337,47905,378.735,20320,1346696,66274.40945,52806.0
murdock-park,Murdock Park,Lafayette,Tippecanoe County,"Tippecanoe County, IN",IN,USA,18,2.0,40.4194549,-86.87626709999999,47905,378.735,20320,1346696,66274.40945,52806.0
pickett-park-disc-golf-course-purdue-university,Pickett Park Disc Golf Course at Purdue University,West Lafayette,Tippecanoe County,"Tippecanoe County, IN",IN,USA,9,,40.4319299,-86.9222856,47906,378.735,21350,1788534,83772.08431,52806.0
ross-hills-park,Ross Hills Park,West Lafayette,Tippecanoe County,"Tippecanoe County, IN",IN,USA,9,2.0,40.4091501,-87.0704699,47906,378.735,21350,1788534,83772.08431,52806.0
wabash-washout,Washout Waters (McAllister North),Lafayette,Tippecanoe County,"Tippecanoe County, IN",IN,USA,18,,40.4350547,-86.8772298,47904,378.735,7430,272924,36732.70525,52806.0
